,Datetime,Trip Distance,trip total duration,duration in traffice,status,coordinates,speed,Traffic condition,Intensity,Origin,Destination,Country,City,Road,Postal_Code
0,2024-02-09T16:12:33.659Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
1,2024-02-12T12:50:42.699Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
2,2024-02-12T12:55:06.962Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
3,2024-02-12T12:55:15.496Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
4,2024-02-12T15:12:26.333Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
5,2024-02-12T15:17:26.263Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
6,2024-02-12T15:22:26.331Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
7,2024-02-12T15:27:26.408Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
8,2024-02-12T15:32:26.521Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
9,2024-02-12T15:37:26.699Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
10,2024-02-12T15:42:26.703Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
11,2024-02-12T15:47:26.853Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
12,2024-02-12T15:52:26.915Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
13,2024-02-12T15:57:27.082Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
14,2024-02-12T16:02:27.112Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
15,2024-02-12T16:07:27.212Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
16,2024-02-12T16:12:27.344Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
17,2024-02-12T16:17:27.402Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
18,2024-02-12T16:22:27.529Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
19,2024-02-12T16:27:27.632Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
20,2024-02-12T16:32:27.695Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France,issy-les-moulineux,Rue Rouget de Lisle,92130
